TAP;type;arath;carpa;glyma;medtr;poptr;ricco;vitvi;orysa;sorbi;zeama;selmo;phypa;volca;chlre;chlsp;micp1;micp2;ostlu;ostta;cyame;guith;auran;phatr;thaps;ectsi;phyra;physo;emihu;plafa;trycr;naegr;enthi;giala;dicdi;dicpu;monbr;enccu;batde;botci;picst;sacce;schpo;phybl;rhior;copci;lacbi;phach;gloil;caeel;drome;fugru;homsa;nemve;xentr
DUF246 domain containing;PT;32;29;66;25;44;25;24;28;27;46;20;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DUF296 domain containing;PT;31;21;81;32;38;22;20;27;26;47;6;13;0;0;0;1;0;1;1;0;0;1;0;0;1;0;0;2;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
DUF547 domain containing;PT;16;11;27;7;16;10;15;15;15;24;6;10;1;1;1;2;2;2;2;4;0;2;3;4;3;2;3;3;0;0;5;4;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;2;0
DUF632 domain containing;PT;16;15;34;12;23;14;13;21;18;27;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DUF833 domain containing;PT;4;1;4;1;2;2;2;2;2;2;2;1;0;0;1;0;1;1;1;0;0;0;0;1;1;0;0;2;0;1;0;0;0;0;1;1;0;1;0;1;1;0;1;0;1;1;1;0;2;1;1;1;1;1
E2F/DP;TF;8;6;14;10;10;6;6;9;11;19;4;10;3;3;3;3;4;3;3;5;0;2;5;3;3;3;3;2;0;0;3;0;1;2;2;3;2;0;0;0;0;0;4;3;0;0;0;1;4;6;12;15;10;9
EIL;TF;6;3;13;11;6;4;4;9;7;11;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FHA;TF;17;13;31;10;19;16;14;18;15;14;9;15;11;12;13;11;11;9;7;2;0;10;8;6;14;18;16;58;8;12;10;12;3;20;16;9;0;9;9;7;14;7;18;18;9;10;10;3;14;27;31;39;22;30
GARP_ARR-B;TF;13;10;24;6;15;9;11;9;9;11;6;5;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GARP_G2-like;TF;40;37;92;26;65;34;39;45;47;68;19;42;4;4;7;3;2;2;2;1;0;0;1;1;1;3;2;6;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GeBP;TF;20;4;14;6;7;4;3;6;7;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GIF;TR;3;2;7;1;5;2;3;3;3;5;3;4;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;3;5;1;3
GNAT;TR;31;28;67;26;55;44;32;37;35;52;26;42;33;28;35;30;33;23;26;19;1;23;30;26;28;26;30;78;10;16;36;42;6;34;33;14;7;17;30;13;12;17;25;28;27;23;26;8;16;34;25;26;27;30
GRAS;TF;33;38;118;41;99;45;46;56;73;94;48;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GRF;TF;9;6;19;5;9;9;7;11;7;15;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
HB;TF;62;38;148;42;87;42;49;58;39;101;20;23;0;1;2;10;7;5;5;5;0;0;0;4;2;6;5;30;0;0;12;4;0;14;19;2;10;4;6;4;8;2;27;37;10;10;7;6;108;154;278;296;149;210
HB_KNOX;TF;8;7;28;6;13;7;9;12;9;20;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
HD-Zip;TF;21;16;52;12;28;17;20;24;23;40;5;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
HMG;TR;11;8;21;2;12;9;7;9;9;15;6;9;9;7;5;9;8;7;5;0;0;11;29;20;10;5;3;26;4;2;16;20;3;4;6;8;1;7;8;5;7;6;25;27;25;15;15;41;24;40;70;84;32;47
